geography,geographic_area_name,families_number,families_number_moe,families_percent_distribution,families_percent_distribution_moe,families_median_income,families_median_income_moe
1400000US48061011906,Census Tract 119.06; Cameron County; Texas,403,133,403,133,44592,28151
1400000US48061011907,Census Tract 119.07; Cameron County; Texas,323,101,323,101,51250,44085
1400000US48061011908,Census Tract 119.08; Cameron County; Texas,680,117,680,117,74500,45398
1400000US48061012002,Census Tract 120.02; Cameron County; Texas,1281,216,1281,216,76250,25825
1400000US48061012003,Census Tract 120.03; Cameron County; Texas,822,173,822,173,51712,4674
1400000US48061012004,Census Tract 120.04; Cameron County; Texas,565,142,565,142,111169,41064
1400000US48061012103,Census Tract 121.03; Cameron County; Texas,160,76,160,76,67045,16450
1400000US48061012104,Census Tract 121.04; Cameron County; Texas,1298,178,1298,178,79219,14041
1400000US48061012105,Census Tract 121.05; Cameron County; Texas,607,99,607,99,60170,26671
1400000US48061012106,Census Tract 121.06; Cameron County; Texas,363,79,363,79,57625,23958
1400000US48061012201,Census Tract 122.01; Cameron County; Texas,1002,371,1002,371,31706,12528
1400000US48061012202,Census Tract 122.02; Cameron County; Texas,831,129,831,129,87850,41456
1400000US48061012203,Census Tract 122.03; Cameron County; Texas,910,216,910,216,55000,20905
1400000US48061012301,Census Tract 123.01; Cameron County; Texas,1341,124,1341,124,76806,18563
1400000US48061012304,Census Tract 123.04; Cameron County; Texas,1006,130,1006,130,62237,11767
1400000US48061012305,Census Tract 123.05; Cameron County; Texas,884,222,884,222,83051,42666
1400000US48061012402,Census Tract 124.02; Cameron County; Texas,1345,252,1345,252,37568,27873
1400000US48061012403,Census Tract 124.03; Cameron County; Texas,802,187,802,187,70000,34362
1400000US48061012404,Census Tract 124.04; Cameron County; Texas,901,217,901,217,52065,34316
1400000US48061012506,Census Tract 125.06; Cameron County; Texas,1051,154,1051,154,77386,12032
1400000US48061012508,Census Tract 125.08; Cameron County; Texas,1009,202,1009,202,43682,11635
1400000US48061012509,Census Tract 125.09; Cameron County; Texas,872,182,872,182,60299,46991
1400000US48061012510,Census Tract 125.10; Cameron County; Texas,1286,262,1286,262,65387,16483
1400000US48061012511,Census Tract 125.11; Cameron County; Texas,1285,447,1285,447,44155,1324
1400000US48061012512,Census Tract 125.12; Cameron County; Texas,527,102,527,102,50656,22098
1400000US48061012513,Census Tract 125.13; Cameron County; Texas,919,198,919,198,71563,26637
1400000US48061012514,Census Tract 125.14; Cameron County; Texas,1173,309,1173,309,68530,7809
1400000US48061012515,Census Tract 125.15; Cameron County; Texas,735,171,735,171,-,**
1400000US48061012516,Census Tract 125.16; Cameron County; Texas,769,181,769,181,75815,6521
1400000US48061012517,Census Tract 125.17; Cameron County; Texas,1325,189,1325,189,90740,24257
1400000US48061012607,Census Tract 126.07; Cameron County; Texas,589,87,589,87,49219,26075
1400000US48061012608,Census Tract 126.08; Cameron County; Texas,1442,269,1442,269,58952,14952
1400000US48061012613,Census Tract 126.13; Cameron County; Texas,1488,216,1488,216,85000,13602
1400000US48061012614,Census Tract 126.14; Cameron County; Texas,750,149,750,149,34395,8802
1400000US48061012615,Census Tract 126.15; Cameron County; Texas,681,152,681,152,36607,5256
1400000US48061012616,Census Tract 126.16; Cameron County; Texas,857,133,857,133,76209,12546
1400000US48061012617,Census Tract 126.17; Cameron County; Texas,671,166,671,166,63281,26329
1400000US48061012700,Census Tract 127; Cameron County; Texas,1166,131,1166,131,51442,6134
1400000US48061012800,Census Tract 128; Cameron County; Texas,1155,157,1155,157,37992,11827
1400000US48061012900,Census Tract 129; Cameron County; Texas,976,169,976,169,56647,3122
1400000US48061013002,Census Tract 130.02; Cameron County; Texas,1231,187,1231,187,46110,9943
1400000US48061013003,Census Tract 130.03; Cameron County; Texas,516,87,516,87,36800,17028
1400000US48061013004,Census Tract 130.04; Cameron County; Texas,509,89,509,89,50060,18740
1400000US48061013102,Census Tract 131.02; Cameron County; Texas,1099,144,1099,144,66169,21951
1400000US48061013104,Census Tract 131.04; Cameron County; Texas,850,146,850,146,73284,11013
1400000US48061013106,Census Tract 131.06; Cameron County; Texas,1142,212,1142,212,32527,4245
1400000US48061013203,Census Tract 132.03; Cameron County; Texas,575,119,575,119,32517,7152
1400000US48061013204,Census Tract 132.04; Cameron County; Texas,420,74,420,74,44231,7269
1400000US48061013205,Census Tract 132.05; Cameron County; Texas,886,125,886,125,36944,7439
1400000US48061013206,Census Tract 132.06; Cameron County; Texas,582,104,582,104,52292,26656
1400000US48061013207,Census Tract 132.07; Cameron County; Texas,1008,231,1008,231,49368,12238
1400000US48061013303,Census Tract 133.03; Cameron County; Texas,971,181,971,181,42023,9519
1400000US48061013305,Census Tract 133.05; Cameron County; Texas,1080,149,1080,149,44563,15169
1400000US48061013306,Census Tract 133.06; Cameron County; Texas,536,114,536,114,38200,13140
1400000US48061013307,Census Tract 133.07; Cameron County; Texas,495,110,495,110,31898,5929
1400000US48061013308,Census Tract 133.08; Cameron County; Texas,785,157,785,157,41193,10550
1400000US48061013309,Census Tract 133.09; Cameron County; Texas,691,88,691,88,37930,6081
1400000US48061013401,Census Tract 134.01; Cameron County; Texas,515,81,515,81,26250,23001
1400000US48061013402,Census Tract 134.02; Cameron County; Texas,392,94,392,94,38333,14615
1400000US48061013500,Census Tract 135; Cameron County; Texas,596,115,596,115,63125,16207
1400000US48061013600,Census Tract 136; Cameron County; Texas,739,124,739,124,44477,8628
1400000US48061013700,Census Tract 137; Cameron County; Texas,855,188,855,188,36141,9819
1400000US48061013801,Census Tract 138.01; Cameron County; Texas,414,69,414,69,22356,2617
1400000US48061013802,Census Tract 138.02; Cameron County; Texas,550,111,550,111,37742,10196
1400000US48061013901,Census Tract 139.01; Cameron County; Texas,524,73,524,73,33250,8154
1400000US48061013902,Census Tract 139.02; Cameron County; Texas,905,144,905,144,42215,11761
1400000US48061013903,Census Tract 139.03; Cameron County; Texas,972,270,972,270,40402,15192
1400000US48061014001,Census Tract 140.01; Cameron County; Texas,422,140,422,140,32500,19253
1400000US48061014002,Census Tract 140.02; Cameron County; Texas,551,163,551,163,36042,21629
1400000US48061014101,Census Tract 141.01; Cameron County; Texas,851,210,851,210,38818,19143
1400000US48061014102,Census Tract 141.02; Cameron County; Texas,955,378,955,378,44605,12280
1400000US48061014103,Census Tract 141.03; Cameron County; Texas,585,152,585,152,38274,3605
1400000US48061014201,Census Tract 142.01; Cameron County; Texas,363,121,363,121,40889,18972
1400000US48061014202,Census Tract 142.02; Cameron County; Texas,642,136,642,136,102734,44357
1400000US48061014300,Census Tract 143; Cameron County; Texas,1417,222,1417,222,33898,5014
1400000US48061014401,Census Tract 144.01; Cameron County; Texas,1866,250,1866,250,92449,17769
1400000US48061014402,Census Tract 144.02; Cameron County; Texas,1565,229,1565,229,97425,20431
1400000US48061014403,Census Tract 144.03; Cameron County; Texas,854,125,854,125,65714,28041
1400000US48061014404,Census Tract 144.04; Cameron County; Texas,1298,382,1298,382,44893,14373
1400000US48061014501,Census Tract 145.01; Cameron County; Texas,1264,264,1264,264,65297,31513
1400000US48061014502,Census Tract 145.02; Cameron County; Texas,1190,252,1190,252,96596,22682
1400000US48061980001,Census Tract 9800.01; Cameron County; Texas,0,15,0,15,-,**
1400000US48061980100,Census Tract 9801; Cameron County; Texas,0,15,0,15,-,**
1400000US48061990000,Census Tract 9900; Cameron County; Texas,0,15,0,15,-,**
1400000US48063950101,Census Tract 9501.01; Camp County; Texas,858,140,858,140,82756,13335
1400000US48063950102,Census Tract 9501.02; Camp County; Texas,1262,136,1262,136,54767,9957
1400000US48063950200,Census Tract 9502; Camp County; Texas,994,188,994,188,62206,15862
1400000US48065950100,Census Tract 9501; Carson County; Texas,509,79,509,79,114009,15867
1400000US48065950200,Census Tract 9502; Carson County; Texas,957,127,957,127,105221,11123
1400000US48067950101,Census Tract 9501.01; Cass County; Texas,1318,205,1318,205,76818,24927
1400000US48067950102,Census Tract 9501.02; Cass County; Texas,753,174,753,174,85729,37295
1400000US48067950200,Census Tract 9502; Cass County; Texas,622,124,622,124,64274,20286
1400000US48067950300,Census Tract 9503; Cass County; Texas,423,82,423,82,78365,15201
1400000US48067950400,Census Tract 9504; Cass County; Texas,1157,172,1157,172,65125,13610
1400000US48067950500,Census Tract 9505; Cass County; Texas,699,118,699,118,81696,23152
1400000US48067950601,Census Tract 9506.01; Cass County; Texas,503,136,503,136,60313,10328
1400000US48067950602,Census Tract 9506.02; Cass County; Texas,855,140,855,140,59715,5243
1400000US48067950700,Census Tract 9507; Cass County; Texas,1384,241,1384,241,51746,11810
1400000US48069950100,Census Tract 9501; Castro County; Texas,273,75,273,75,103438,56167
1400000US48069950200,Census Tract 9502; Castro County; Texas,1084,145,1084,145,65938,15930
1400000US48069950300,Census Tract 9503; Castro County; Texas,471,102,471,102,53160,3080
1400000US48071710100,Census Tract 7101; Chambers County; Texas,2981,265,2981,265,139904,19340
1400000US48071710201,Census Tract 7102.01; Chambers County; Texas,2539,384,2539,384,134362,20115
1400000US48071710202,Census Tract 7102.02; Chambers County; Texas,3632,366,3632,366,139239,20435
1400000US48071710300,Census Tract 7103; Chambers County; Texas,752,201,752,201,95556,34085
1400000US48071710401,Census Tract 7104.01; Chambers County; Texas,1435,287,1435,287,65719,24175
1400000US48071710500,Census Tract 7105; Chambers County; Texas,1115,244,1115,244,68668,14916
1400000US48071710600,Census Tract 7106; Chambers County; Texas,0,15,0,15,-,**
1400000US48071990000,Census Tract 9900; Chambers County; Texas,0,15,0,15,-,**
1400000US48073950100,Census Tract 9501; Cherokee County; Texas,1132,168,1132,168,79151,12245
1400000US48073950201,Census Tract 9502.01; Cherokee County; Texas,823,135,823,135,106331,20546
1400000US48073950202,Census Tract 9502.02; Cherokee County; Texas,1299,316,1299,316,79728,24174
1400000US48073950301,Census Tract 9503.01; Cherokee County; Texas,1173,245,1173,245,63750,21843
1400000US48073950302,Census Tract 9503.02; Cherokee County; Texas,1531,353,1531,353,61797,19006
1400000US48073950400,Census Tract 9504; Cherokee County; Texas,415,117,415,117,39621,20576
1400000US48073950500,Census Tract 9505; Cherokee County; Texas,786,150,786,150,36029,12423
1400000US48073950600,Census Tract 9506; Cherokee County; Texas,1471,250,1471,250,52239,8162
1400000US48073950700,Census Tract 9507; Cherokee County; Texas,1089,179,1089,179,50516,16368
1400000US48073950801,Census Tract 9508.01; Cherokee County; Texas,980,163,980,163,64432,12834
1400000US48073950802,Census Tract 9508.02; Cherokee County; Texas,1021,179,1021,179,65117,23074
1400000US48073950900,Census Tract 9509; Cherokee County; Texas,560,114,560,114,72786,27656
1400000US48073951000,Census Tract 9510; Cherokee County; Texas,779,155,779,155,75781,19175
1400000US48073951100,Census Tract 9511; Cherokee County; Texas,538,118,538,118,64545,34470
1400000US48075950100,Census Tract 9501; Childress County; Texas,371,91,371,91,77625,39762
1400000US48075950200,Census Tract 9502; Childress County; Texas,1056,175,1056,175,51210,16794
1400000US48077030200,Census Tract 302; Clay County; Texas,827,95,827,95,90335,5627
1400000US48077030301,Census Tract 303.01; Clay County; Texas,1365,127,1365,127,87486,9608
1400000US48077030302,Census Tract 303.02; Clay County; Texas,803,86,803,86,98949,8281
1400000US48079950100,Census Tract 9501; Cochran County; Texas,648,70,648,70,53068,5834
1400000US48081950100,Census Tract 9501; Coke County; Texas,444,74,444,74,60300,10078
1400000US48081950200,Census Tract 9502; Coke County; Texas,415,83,415,83,82014,22855
1400000US48083950300,Census Tract 9503; Coleman County; Texas,925,134,925,134,59144,9174
1400000US48083950600,Census Tract 9506; Coleman County; Texas,277,69,277,69,83125,36648
1400000US48083950700,Census Tract 9507; Coleman County; Texas,638,95,638,95,60179,11252
1400000US48085030101,Census Tract 301.01; Collin County; Texas,797,120,797,120,111958,10939
1400000US48085030102,Census Tract 301.02; Collin County; Texas,1067,152,1067,152,97022,22519
1400000US48085030201,Census Tract 302.01; Collin County; Texas,1819,203,1819,203,147660,23822
1400000US48085030202,Census Tract 302.02; Collin County; Texas,1677,169,1677,169,150313,28139
1400000US48085030204,Census Tract 302.04; Collin County; Texas,2391,574,2391,574,114082,14477
1400000US48085030205,Census Tract 302.05; Collin County; Texas,1448,331,1448,331,84688,30077
1400000US48085030206,Census Tract 302.06; Collin County; Texas,1506,382,1506,382,153233,33154
1400000US48085030207,Census Tract 302.07; Collin County; Texas,4195,506,4195,506,104026,29619
1400000US48085030301,Census Tract 303.01; Collin County; Texas,2623,281,2623,281,146607,16730
1400000US48085030302,Census Tract 303.02; Collin County; Texas,1556,158,1556,158,203542,34289
1400000US48085030303,Census Tract 303.03; Collin County; Texas,2908,321,2908,321,186099,23335
1400000US48085030304,Census Tract 303.04; Collin County; Texas,2200,190,2200,190,181754,16000
1400000US48085030306,Census Tract 303.06; Collin County; Texas,3875,593,3875,593,149513,18229
1400000US48085030307,Census Tract 303.07; Collin County; Texas,4691,645,4691,645,164946,9797
1400000US48085030403,Census Tract 304.03; Collin County; Texas,1815,302,1815,302,160246,38892
1400000US48085030404,Census Tract 304.04; Collin County; Texas,1237,215,1237,215,153545,27327
1400000US48085030405,Census Tract 304.05; Collin County; Texas,1305,240,1305,240,81050,23206
1400000US48085030406,Census Tract 304.06; Collin County; Texas,1188,168,1188,168,91864,41438
1400000US48085030407,Census Tract 304.07; Collin County; Texas,910,119,910,119,208542,37599
1400000US48085030409,Census Tract 304.09; Collin County; Texas,690,156,690,156,77679,34680
1400000US48085030410,Census Tract 304.10; Collin County; Texas,835,196,835,196,106518,37518
1400000US48085030504,Census Tract 305.04; Collin County; Texas,900,210,900,210,127059,33062
1400000US48085030505,Census Tract 305.05; Collin County; Texas,1596,383,1596,383,118629,12093
1400000US48085030506,Census Tract 305.06; Collin County; Texas,1285,188,1285,188,143560,11503
1400000US48085030507,Census Tract 305.07; Collin County; Texas,488,91,488,91,156818,31382
1400000US48085030509,Census Tract 305.09; Collin County; Texas,736,126,736,126,158516,20825
1400000US48085030510,Census Tract 305.10; Collin County; Texas,834,161,834,161,172545,15748
1400000US48085030511,Census Tract 305.11; Collin County; Texas,3735,330,3735,330,220568,28887
1400000US48085030512,Census Tract 305.12; Collin County; Texas,1395,203,1395,203,211528,11009
1400000US48085030515,Census Tract 305.15; Collin County; Texas,1896,324,1896,324,142965,12409
1400000US48085030516,Census Tract 305.16; Collin County; Texas,1783,196,1783,196,142094,23940
1400000US48085030517,Census Tract 305.17; Collin County; Texas,2930,365,2930,365,120756,28474
1400000US48085030518,Census Tract 305.18; Collin County; Texas,2731,214,2731,214,198185,20050
1400000US48085030519,Census Tract 305.19; Collin County; Texas,2153,274,2153,274,195754,18223
1400000US48085030520,Census Tract 305.20; Collin County; Texas,1826,220,1826,220,151157,9859
1400000US48085030521,Census Tract 305.21; Collin County; Texas,1308,104,1308,104,155991,15010
1400000US48085030524,Census Tract 305.24; Collin County; Texas,2371,200,2371,200,130341,23464
1400000US48085030525,Census Tract 305.25; Collin County; Texas,1706,193,1706,193,149643,35542
1400000US48085030529,Census Tract 305.29; Collin County; Texas,917,130,917,130,151313,14401
1400000US48085030531,Census Tract 305.31; Collin County; Texas,1904,303,1904,303,172297,13251
1400000US48085030532,Census Tract 305.32; Collin County; Texas,619,114,619,114,190445,64902
1400000US48085030533,Census Tract 305.33; Collin County; Texas,841,129,841,129,188229,38046
1400000US48085030534,Census Tract 305.34; Collin County; Texas,903,167,903,167,139982,57398
1400000US48085030535,Census Tract 305.35; Collin County; Texas,730,100,730,100,122500,34226
1400000US48085030536,Census Tract 305.36; Collin County; Texas,1767,130,1767,130,189107,22644
1400000US48085030537,Census Tract 305.37; Collin County; Texas,2191,349,2191,349,153644,17984
1400000US48085030538,Census Tract 305.38; Collin County; Texas,1527,179,1527,179,140487,17339
1400000US48085030539,Census Tract 305.39; Collin County; Texas,1593,378,1593,378,140223,38591
1400000US48085030540,Census Tract 305.40; Collin County; Texas,977,242,977,242,64438,12015
1400000US48085030541,Census Tract 305.41; Collin County; Texas,1004,152,1004,152,164706,26926
1400000US48085030542,Census Tract 305.42; Collin County; Texas,1983,333,1983,333,116168,37402
1400000US48085030543,Census Tract 305.43; Collin County; Texas,1052,314,1052,314,130690,31387
1400000US48085030544,Census Tract 305.44; Collin County; Texas,1400,220,1400,220,126528,21270
1400000US48085030545,Census Tract 305.45; Collin County; Texas,805,92,805,92,191458,41807
1400000US48085030546,Census Tract 305.46; Collin County; Texas,1448,159,1448,159,209530,18350
1400000US48085030547,Census Tract 305.47; Collin County; Texas,1506,267,1506,267,195735,41507
1400000US48085030548,Census Tract 305.48; Collin County; Texas,1631,340,1631,340,152344,36249
1400000US48085030549,Census Tract 305.49; Collin County; Texas,624,210,624,210,127791,50170
1400000US48085030550,Census Tract 305.50; Collin County; Texas,1119,191,1119,191,136084,8535
1400000US48085030604,Census Tract 306.04; Collin County; Texas,842,186,842,186,115313,29344
1400000US48085030605,Census Tract 306.05; Collin County; Texas,1795,288,1795,288,84464,18009
1400000US48085030606,Census Tract 306.06; Collin County; Texas,1521,370,1521,370,84810,39586
1400000US48085030607,Census Tract 306.07; Collin County; Texas,1748,223,1748,223,186700,13340
1400000US48085030608,Census Tract 306.08; Collin County; Texas,648,127,648,127,114107,41478
1400000US48085030609,Census Tract 306.09; Collin County; Texas,2028,391,2028,391,111875,40118
1400000US48085030701,Census Tract 307.01; Collin County; Texas,593,142,593,142,83412,17678
1400000US48085030702,Census Tract 307.02; Collin County; Texas,1244,192,1244,192,91250,10400
1400000US48085030801,Census Tract 308.01; Collin County; Texas,1102,198,1102,198,69741,18096
1400000US48085030802,Census Tract 308.02; Collin County; Texas,1409,264,1409,264,81220,27250
1400000US48085030901,Census Tract 309.01; Collin County; Texas,555,169,555,169,78828,60386
1400000US48085030902,Census Tract 309.02; Collin County; Texas,0,15,0,15,-,**
1400000US48085030903,Census Tract 309.03; Collin County; Texas,1495,249,1495,249,63314,12629
1400000US48085031003,Census Tract 310.03; Collin County; Texas,3279,439,3279,439,108659,15169
1400000US48085031005,Census Tract 310.05; Collin County; Texas,941,458,941,458,69365,41732
1400000US48085031006,Census Tract 310.06; Collin County; Texas,988,313,988,313,65893,50093
1400000US48085031007,Census Tract 310.07; Collin County; Texas,1751,193,1751,193,103724,10225
1400000US48085031008,Census Tract 310.08; Collin County; Texas,775,177,775,177,64504,9033
1400000US48085031101,Census Tract 311.01; Collin County; Texas,1587,236,1587,236,84350,46009
1400000US48085031102,Census Tract 311.02; Collin County; Texas,1631,299,1631,299,96339,24608
1400000US48085031201,Census Tract 312.01; Collin County; Texas,2411,210,2411,210,121380,10010
1400000US48085031202,Census Tract 312.02; Collin County; Texas,2110,185,2110,185,132727,19270
1400000US48085031308,Census Tract 313.08; Collin County; Texas,1705,298,1705,298,113317,27783
1400000US48085031314,Census Tract 313.14; Collin County; Texas,1732,246,1732,246,148831,36085
1400000US48085031318,Census Tract 313.18; Collin County; Texas,1372,174,1372,174,112778,22761
1400000US48085031319,Census Tract 313.19; Collin County; Texas,1234,264,1234,264,70000,19107
1400000US48085031320,Census Tract 313.20; Collin County; Texas,1790,352,1790,352,109728,20609
1400000US48085031321,Census Tract 313.21; Collin County; Texas,1580,471,1580,471,159167,28585
1400000US48085031322,Census Tract 313.22; Collin County; Texas,2157,315,2157,315,129539,27052
1400000US48085031323,Census Tract 313.23; Collin County; Texas,1654,291,1654,291,132500,32549
1400000US48085031324,Census Tract 313.24; Collin County; Texas,1307,164,1307,164,160950,29349
1400000US48085031325,Census Tract 313.25; Collin County; Texas,484,88,484,88,139063,45542
1400000US48085031326,Census Tract 313.26; Collin County; Texas,1662,296,1662,296,218556,41959
1400000US48085031327,Census Tract 313.27; Collin County; Texas,1043,113,1043,113,185477,40307
1400000US48085031328,Census Tract 313.28; Collin County; Texas,1005,175,1005,175,154215,21470
1400000US48085031329,Census Tract 313.29; Collin County; Texas,1692,295,1692,295,144850,24283
1400000US48085031330,Census Tract 313.30; Collin County; Texas,1483,180,1483,180,158193,6258
1400000US48085031331,Census Tract 313.31; Collin County; Texas,1190,238,1190,238,99429,46336
1400000US48085031332,Census Tract 313.32; Collin County; Texas,1249,207,1249,207,111257,13301
1400000US48085031333,Census Tract 313.33; Collin County; Texas,1032,238,1032,238,146087,34814
1400000US48085031334,Census Tract 313.34; Collin County; Texas,1002,220,1002,220,143450,61312
1400000US48085031335,Census Tract 313.35; Collin County; Texas,1531,166,1531,166,146797,24469
1400000US48085031336,Census Tract 313.36; Collin County; Texas,1430,290,1430,290,202891,25984
1400000US48085031408,Census Tract 314.08; Collin County; Texas,951,88,951,88,145346,21148
1400000US48085031411,Census Tract 314.11; Collin County; Texas,1625,234,1625,234,165528,16438
1400000US48085031412,Census Tract 314.12; Collin County; Texas,1941,231,1941,231,121806,47460
1400000US48085031413,Census Tract 314.13; Collin County; Texas,1829,301,1829,301,128563,21411
1400000US48085031414,Census Tract 314.14; Collin County; Texas,1965,457,1965,457,163598,54679
1400000US48085031415,Census Tract 314.15; Collin County; Texas,1872,357,1872,357,167015,51484
1400000US48085031416,Census Tract 314.16; Collin County; Texas,2692,317,2692,317,"250,000+",***
1400000US48085031417,Census Tract 314.17; Collin County; Texas,1181,144,1181,144,179081,146703
1400000US48085031418,Census Tract 314.18; Collin County; Texas,1603,143,1603,143,197321,78306
1400000US48085031419,Census Tract 314.19; Collin County; Texas,1354,214,1354,214,174537,69221
1400000US48085031420,Census Tract 314.20; Collin County; Texas,1093,224,1093,224,127083,16380
1400000US48085031421,Census Tract 314.21; Collin County; Texas,1117,153,1117,153,148350,23043
1400000US48085031422,Census Tract 314.22; Collin County; Texas,1167,224,1167,224,90625,32540
1400000US48085031423,Census Tract 314.23; Collin County; Texas,1018,214,1018,214,101349,6464
1400000US48085031424,Census Tract 314.24; Collin County; Texas,762,133,762,133,142963,45845
1400000US48085031425,Census Tract 314.25; Collin County; Texas,1431,212,1431,212,116139,37109
1400000US48085031504,Census Tract 315.04; Collin County; Texas,1604,177,1604,177,119643,19924
1400000US48085031507,Census Tract 315.07; Collin County; Texas,1814,339,1814,339,104231,41759
1400000US48085031508,Census Tract 315.08; Collin County; Texas,1462,216,1462,216,111375,11581
1400000US48085031509,Census Tract 315.09; Collin County; Texas,1186,186,1186,186,128167,35897
1400000US48085031510,Census Tract 315.10; Collin County; Texas,1872,322,1872,322,152465,29154
1400000US48085031511,Census Tract 315.11; Collin County; Texas,1259,238,1259,238,85821,36121
1400000US48085031512,Census Tract 315.12; Collin County; Texas,793,189,793,189,83802,24391
1400000US48085031611,Census Tract 316.11; Collin County; Texas,912,130,912,130,103250,13425
1400000US48085031613,Census Tract 316.13; Collin County; Texas,1600,224,1600,224,160781,25306
1400000US48085031621,Census Tract 316.21; Collin County; Texas,1856,460,1856,460,82115,44786
1400000US48085031622,Census Tract 316.22; Collin County; Texas,1867,308,1867,308,110703,26739
1400000US48085031623,Census Tract 316.23; Collin County; Texas,669,139,669,139,93472,16070
1400000US48085031624,Census Tract 316.24; Collin County; Texas,500,96,500,96,-,**
1400000US48085031625,Census Tract 316.25; Collin County; Texas,1261,212,1261,212,135421,12400
1400000US48085031626,Census Tract 316.26; Collin County; Texas,652,113,652,113,133333,17298
1400000US48085031627,Census Tract 316.27; Collin County; Texas,1524,286,1524,286,133229,41102
1400000US48085031628,Census Tract 316.28; Collin County; Texas,1056,213,1056,213,112939,12632
1400000US48085031629,Census Tract 316.29; Collin County; Texas,977,183,977,183,97652,5911
1400000US48085031630,Census Tract 316.30; Collin County; Texas,1135,116,1135,116,114439,5518
1400000US48085031631,Census Tract 316.31; Collin County; Texas,1290,288,1290,288,115680,12793
1400000US48085031632,Census Tract 316.32; Collin County; Texas,1443,284,1443,284,106659,34942
1400000US48085031633,Census Tract 316.33; Collin County; Texas,1200,204,1200,204,140625,27614
1400000US48085031634,Census Tract 316.34; Collin County; Texas,778,109,778,109,91912,11007
1400000US48085031635,Census Tract 316.35; Collin County; Texas,1123,194,1123,194,97686,14812
1400000US48085031636,Census Tract 316.36; Collin County; Texas,2173,307,2173,307,125371,18581
1400000US48085031639,Census Tract 316.39; Collin County; Texas,1943,273,1943,273,167572,38940
1400000US48085031641,Census Tract 316.41; Collin County; Texas,1904,335,1904,335,139693,10831
1400000US48085031642,Census Tract 316.42; Collin County; Texas,1363,197,1363,197,170020,17890
1400000US48085031643,Census Tract 316.43; Collin County; Texas,1296,201,1296,201,137348,20789
1400000US48085031645,Census Tract 316.45; Collin County; Texas,540,42,540,42,192917,39390
1400000US48085031646,Census Tract 316.46; Collin County; Texas,1520,193,1520,193,234667,19829
1400000US48085031647,Census Tract 316.47; Collin County; Texas,859,194,859,194,160114,60213
1400000US48085031649,Census Tract 316.49; Collin County; Texas,1477,208,1477,208,150846,27735
1400000US48085031654,Census Tract 316.54; Collin County; Texas,1178,256,1178,256,171010,29894
1400000US48085031655,Census Tract 316.55; Collin County; Texas,1363,239,1363,239,112313,28862
1400000US48085031657,Census Tract 316.57; Collin County; Texas,654,189,654,189,109510,9449
1400000US48085031659,Census Tract 316.59; Collin County; Texas,601,127,601,127,111771,23365
1400000US48085031660,Census Tract 316.60; Collin County; Texas,1323,168,1323,168,133750,31465
1400000US48085031661,Census Tract 316.61; Collin County; Texas,886,147,886,147,206250,43242
1400000US48085031662,Census Tract 316.62; Collin County; Texas,1197,86,1197,86,153672,18395
1400000US48085031663,Census Tract 316.63; Collin County; Texas,976,143,976,143,172813,43589
1400000US48085031664,Census Tract 316.64; Collin County; Texas,1080,143,1080,143,199444,45259
1400000US48085031665,Census Tract 316.65; Collin County; Texas,993,154,993,154,99583,27183
1400000US48085031666,Census Tract 316.66; Collin County; Texas,1444,273,1444,273,173833,80392
1400000US48085031667,Census Tract 316.67; Collin County; Texas,875,171,875,171,151902,81039
1400000US48085031668,Census Tract 316.68; Collin County; Texas,1350,369,1350,369,"250,000+",***
1400000US48085031669,Census Tract 316.69; Collin County; Texas,619,80,619,80,174844,46951
1400000US48085031670,Census Tract 316.70; Collin County; Texas,139,76,139,76,208490,129939
1400000US48085031671,Census Tract 316.71; Collin County; Texas,460,238,460,238,68587,46410
1400000US48085031672,Census Tract 316.72; Collin County; Texas,556,274,556,274,96445,51664
1400000US48085031673,Census Tract 316.73; Collin County; Texas,568,145,568,145,118450,13192
1400000US48085031674,Census Tract 316.74; Collin County; Texas,1565,268,1565,268,114213,15024
1400000US48085031675,Census Tract 316.75; Collin County; Texas,896,131,896,131,150547,32861
1400000US48085031676,Census Tract 316.76; Collin County; Texas,908,167,908,167,143667,26693
1400000US48085031677,Census Tract 316.77; Collin County; Texas,913,121,913,121,215815,28400
1400000US48085031678,Census Tract 316.78; Collin County; Texas,950,110,950,110,170539,33797
1400000US48085031679,Census Tract 316.79; Collin County; Texas,704,77,704,77,200526,14449
1400000US48085031680,Census Tract 316.80; Collin County; Texas,1219,211,1219,211,225615,29270
1400000US48085031681,Census Tract 316.81; Collin County; Texas,685,107,685,107,164053,30184
1400000US48085031682,Census Tract 316.82; Collin County; Texas,1286,375,1286,375,100407,68630
1400000US48085031704,Census Tract 317.04; Collin County; Texas,960,163,960,163,170952,28277
1400000US48085031706,Census Tract 317.06; Collin County; Texas,717,77,717,77,"250,000+",***
1400000US48085031708,Census Tract 317.08; Collin County; Texas,1041,201,1041,201,133288,18481
1400000US48085031709,Census Tract 317.09; Collin County; Texas,1185,263,1185,263,136696,16948
1400000US48085031711,Census Tract 317.11; Collin County; Texas,904,169,904,169,160278,36880
1400000US48085031713,Census Tract 317.13; Collin County; Texas,1110,291,1110,291,97900,31712
1400000US48085031715,Census Tract 317.15; Collin County; Texas,742,125,742,125,218250,42972
1400000US48085031716,Census Tract 317.16; Collin County; Texas,821,188,821,188,170861,57245
1400000US48085031717,Census Tract 317.17; Collin County; Texas,449,107,449,107,96250,55091
